,domLoadTime,networkTime,pageLoadTime,searchTime,url
0,7636.0,2235.0,128.0,7909.0,http://www.naver.com
1,6673.0,220.0,72.0,6954.0,http://www.daum.net
2,6591.0,255.0,99.0,6928.0,http://www.nate.com
3,5046.0,305.0,27.0,5374.0,http://www.baidu.com
4,893.0,687.0,1.0,1075.0,http://www.google.com
5,579.0,528.0,0.0,678.0,http://www.bing.com
6,4241.0,1188.0,44.0,4582.0,http://www.yahoo.co.jp
7,5109.0,1493.0,98.0,5372.0,http://www.naver.com
8,5070.0,222.0,54.0,5327.0,http://www.daum.net
9,5432.0,266.0,83.0,5761.0,http://www.nate.com
10,3227.0,263.0,21.0,3504.0,http://www.baidu.com
11,691.0,624.0,1.0,861.0,http://www.google.com
12,386.0,874.0,0.0,1000.0,http://www.bing.com
13,3202.0,1087.0,31.0,3503.0,http://www.yahoo.co.jp
14,5087.0,1470.0,105.0,5375.0,http://www.naver.com
15,5026.0,206.0,49.0,5268.0,http://www.daum.net
16,4530.0,259.0,64.0,4838.0,http://www.nate.com
17,3118.0,402.0,26.0,3396.0,http://www.baidu.com
18,567.0,975.0,0.0,1194.0,http://www.google.com
19,462.0,474.0,0.0,553.0,http://www.bing.com
20,3388.0,931.0,32.0,3664.0,http://www.yahoo.co.jp
21,5160.0,1663.0,84.0,5425.0,http://www.naver.com
22,4867.0,252.0,48.0,5145.0,http://www.daum.net
23,4485.0,243.0,71.0,4781.0,http://www.nate.com
24,3527.0,270.0,18.0,3814.0,http://www.baidu.com
25,1243.0,723.0,16.0,1432.0,http://www.google.com
26,505.0,516.0,0.0,604.0,http://www.bing.com
27,3620.0,1090.0,31.0,3914.0,http://www.yahoo.co.jp
28,4752.0,1567.0,110.0,5036.0,http://www.naver.com
29,4944.0,245.0,52.0,5213.0,http://www.daum.net
30,4726.0,248.0,62.0,5016.0,http://www.nate.com
31,3127.0,267.0,25.0,3411.0,http://www.baidu.com
32,638.0,661.0,0.0,805.0,http://www.google.com
33,534.0,559.0,0.0,626.0,http://www.bing.com
34,3148.0,796.0,44.0,3422.0,http://www.yahoo.co.jp
35,5039.0,1954.0,105.0,5267.0,http://www.naver.com
36,2714.0,212.0,28.0,2940.0,http://www.daum.net
37,4621.0,242.0,64.0,4906.0,http://www.nate.com
38,2992.0,259.0,21.0,3273.0,http://www.baidu.com
39,769.0,769.0,0.0,919.0,http://www.google.com
40,552.0,569.0,1.0,644.0,http://www.bing.com
41,3319.0,1035.0,28.0,3635.0,http://www.yahoo.co.jp
42,4918.0,1732.0,99.0,5183.0,http://www.naver.com
43,2644.0,232.0,21.0,2879.0,http://www.daum.net
44,4759.0,230.0,60.0,5029.0,http://www.nate.com
45,2961.0,262.0,28.0,3251.0,http://www.baidu.com
46,622.0,624.0,0.0,776.0,http://www.google.com
47,408.0,434.0,0.0,502.0,http://www.bing.com
48,3807.0,1066.0,28.0,4097.0,http://www.yahoo.co.jp
49,5021.0,2760.0,88.0,6108.0,http://www.naver.com
50,5066.0,241.0,66.0,5353.0,http://www.daum.net
51,2379.0,241.0,35.0,2640.0,http://www.nate.com
52,3013.0,251.0,20.0,3282.0,http://www.baidu.com
53,795.0,829.0,0.0,955.0,http://www.google.com
54,405.0,427.0,0.0,499.0,http://www.bing.com
55,3358.0,1064.0,39.0,3640.0,http://www.yahoo.co.jp
56,5080.0,1466.0,99.0,5312.0,http://www.naver.com
57,2812.0,233.0,16.0,3043.0,http://www.daum.net
58,2419.0,252.0,47.0,2700.0,http://www.nate.com
59,2901.0,278.0,17.0,3188.0,http://www.baidu.com
60,6642.0,598.0,44.0,6834.0,http://www.google.com
61,457.0,475.0,0.0,548.0,http://www.bing.com
62,3458.0,1193.0,31.0,3729.0,http://www.yahoo.co.jp
63,4789.0,1714.0,113.0,5069.0,http://www.naver.com
64,5135.0,221.0,52.0,5389.0,http://www.daum.net
65,4950.0,871.0,69.0,5880.0,http://www.nate.com
66,3137.0,257.0,18.0,3405.0,http://www.baidu.com
67,650.0,593.0,1.0,818.0,http://www.google.com
68,424.0,461.0,0.0,529.0,http://www.bing.com
69,3378.0,1042.0,32.0,3683.0,http://www.yahoo.co.jp
70,4992.0,1760.0,96.0,5270.0,http://www.naver.com
71,5127.0,1841.0,50.0,5383.0,http://www.daum.net
72,5588.0,248.0,63.0,5866.0,http://www.nate.com
73,3154.0,272.0,22.0,3448.0,http://www.baidu.com
74,653.0,590.0,0.0,806.0,http://www.google.com
75,455.0,489.0,0.0,555.0,http://www.bing.com
76,3807.0,1121.0,31.0,4118.0,http://www.yahoo.co.jp
77,5158.0,1394.0,101.0,5431.0,http://www.naver.com
78,5816.0,235.0,39.0,6069.0,http://www.daum.net
79,4502.0,256.0,67.0,4809.0,http://www.nate.com
80,2934.0,252.0,19.0,3205.0,http://www.baidu.com
81,641.0,661.0,0.0,806.0,http://www.google.com
82,509.0,511.0,0.0,605.0,http://www.bing.com
83,3135.0,1089.0,30.0,3496.0,http://www.yahoo.co.jp
84,4863.0,1759.0,117.0,5155.0,http://www.naver.com
85,2505.0,2183.0,15.0,2733.0,http://www.daum.net
86,4706.0,1298.0,60.0,4956.0,http://www.nate.com
87,2962.0,245.0,25.0,3230.0,http://www.baidu.com
88,836.0,632.0,1.0,999.0,http://www.google.com
89,412.0,435.0,0.0,503.0,http://www.bing.com
90,3122.0,888.0,33.0,3431.0,http://www.yahoo.co.jp
91,4943.0,1488.0,96.0,5164.0,http://www.naver.com
92,5068.0,239.0,47.0,5336.0,http://www.daum.net
93,5463.0,2692.0,68.0,5749.0,http://www.nate.com
94,3584.0,247.0,19.0,3849.0,http://www.baidu.com
95,701.0,612.0,0.0,860.0,http://www.google.com
96,500.0,536.0,0.0,594.0,http://www.bing.com
97,3074.0,879.0,34.0,3346.0,http://www.yahoo.co.jp
98,5036.0,1561.0,126.0,5317.0,http://www.naver.com
99,3092.0,2689.0,21.0,3373.0,http://www.daum.net
100,4807.0,231.0,60.0,5081.0,http://www.nate.com
101,2793.0,262.0,18.0,3069.0,http://www.baidu.com
102,610.0,609.0,0.0,764.0,http://www.google.com
103,499.0,521.0,1.0,589.0,http://www.bing.com
104,3379.0,999.0,39.0,3667.0,http://www.yahoo.co.jp
105,5079.0,1804.0,94.0,5330.0,http://www.naver.com
106,4986.0,232.0,52.0,5246.0,http://www.daum.net
107,2669.0,294.0,44.0,3003.0,http://www.nate.com
108,3181.0,230.0,20.0,3433.0,http://www.baidu.com
109,715.0,736.0,0.0,877.0,http://www.google.com
110,473.0,491.0,0.0,562.0,http://www.bing.com
111,3111.0,1003.0,29.0,3504.0,http://www.yahoo.co.jp
112,5089.0,1783.0,112.0,5368.0,http://www.naver.com
113,5082.0,265.0,51.0,5374.0,http://www.daum.net
114,4740.0,248.0,61.0,5039.0,http://www.nate.com
115,3297.0,263.0,25.0,3585.0,http://www.baidu.com
116,678.0,687.0,1.0,843.0,http://www.google.com
117,705.0,766.0,1.0,818.0,http://www.bing.com
118,3314.0,820.0,33.0,3585.0,http://www.yahoo.co.jp
119,4967.0,1548.0,96.0,5174.0,http://www.naver.com
120,4923.0,1751.0,56.0,5196.0,http://www.daum.net
121,4747.0,1580.0,59.0,5034.0,http://www.nate.com
122,3495.0,231.0,27.0,3755.0,http://www.baidu.com
123,5017.0,671.0,43.0,5216.0,http://www.google.com
124,509.0,533.0,1.0,599.0,http://www.bing.com
125,3214.0,929.0,37.0,3542.0,http://www.yahoo.co.jp
126,5862.0,2417.0,86.0,6127.0,http://www.naver.com
127,2917.0,225.0,32.0,3153.0,http://www.daum.net
128,4807.0,1474.0,59.0,5097.0,http://www.nate.com
129,2838.0,391.0,26.0,3102.0,http://www.baidu.com
130,794.0,827.0,0.0,953.0,http://www.google.com
131,612.0,629.0,0.0,700.0,http://www.bing.com
132,3230.0,1081.0,39.0,3568.0,http://www.yahoo.co.jp
133,5026.0,1485.0,107.0,5242.0,http://www.naver.com
134,3652.0,220.0,24.0,3882.0,http://www.daum.net
135,4824.0,235.0,65.0,5110.0,http://www.nate.com
136,3048.0,401.0,18.0,3314.0,http://www.baidu.com
137,599.0,563.0,1.0,771.0,http://www.google.com
138,820.0,854.0,0.0,908.0,http://www.bing.com
139,3322.0,963.0,32.0,3598.0,http://www.yahoo.co.jp
140,5230.0,1613.0,93.0,5467.0,http://www.naver.com
141,4931.0,213.0,60.0,5184.0,http://www.daum.net
142,4726.0,235.0,70.0,5005.0,http://www.nate.com
143,2830.0,237.0,29.0,3098.0,http://www.baidu.com
144,1177.0,643.0,16.0,1346.0,http://www.google.com
145,553.0,568.0,0.0,644.0,http://www.bing.com
146,3290.0,1078.0,27.0,3632.0,http://www.yahoo.co.jp
147,5167.0,1916.0,93.0,5424.0,http://www.naver.com
148,6014.0,503.0,59.0,6557.0,http://www.daum.net
149,4687.0,242.0,71.0,4977.0,http://www.nate.com
150,2829.0,385.0,23.0,3092.0,http://www.baidu.com
151,2955.0,812.0,22.0,3140.0,http://www.google.com
152,461.0,481.0,0.0,554.0,http://www.bing.com
153,3296.0,890.0,35.0,3571.0,http://www.yahoo.co.jp
154,5302.0,1853.0,101.0,5568.0,http://www.naver.com
155,5068.0,246.0,44.0,5338.0,http://www.daum.net
156,5651.0,209.0,69.0,5912.0,http://www.nate.com
157,2770.0,257.0,22.0,3046.0,http://www.baidu.com
158,2963.0,884.0,20.0,3136.0,http://www.google.com
159,471.0,494.0,0.0,561.0,http://www.bing.com
160,3215.0,1054.0,28.0,3535.0,http://www.yahoo.co.jp
161,5479.0,1756.0,106.0,5743.0,http://www.naver.com
162,5536.0,224.0,50.0,5793.0,http://www.daum.net
163,5064.0,246.0,66.0,5357.0,http://www.nate.com
164,3390.0,238.0,26.0,3660.0,http://www.baidu.com
165,771.0,677.0,0.0,949.0,http://www.google.com
166,494.0,524.0,0.0,588.0,http://www.bing.com
167,3354.0,914.0,37.0,3661.0,http://www.yahoo.co.jp
168,5014.0,1630.0,98.0,5229.0,http://www.naver.com
169,4928.0,1872.0,46.0,5176.0,http://www.daum.net
170,4597.0,203.0,65.0,4850.0,http://www.nate.com
171,2897.0,237.0,26.0,3158.0,http://www.baidu.com
172,627.0,637.0,0.0,770.0,http://www.google.com
173,533.0,555.0,0.0,625.0,http://www.bing.com
174,3270.0,965.0,35.0,3575.0,http://www.yahoo.co.jp
175,5071.0,1577.0,108.0,5316.0,http://www.naver.com
176,5409.0,297.0,51.0,5736.0,http://www.daum.net
177,4683.0,249.0,82.0,4998.0,http://www.nate.com
178,2833.0,295.0,25.0,3150.0,http://www.baidu.com
179,714.0,758.0,1.0,878.0,http://www.google.com
180,559.0,572.0,0.0,649.0,http://www.bing.com
181,3290.0,916.0,40.0,3581.0,http://www.yahoo.co.jp
182,5196.0,2163.0,108.0,5543.0,http://www.naver.com
183,5072.0,227.0,56.0,5329.0,http://www.daum.net
184,4739.0,1164.0,58.0,5028.0,http://www.nate.com
185,3032.0,259.0,22.0,3311.0,http://www.baidu.com
186,678.0,618.0,1.0,840.0,http://www.google.com
187,479.0,503.0,1.0,570.0,http://www.bing.com
188,3336.0,1084.0,29.0,3652.0,http://www.yahoo.co.jp
189,5108.0,1489.0,101.0,5324.0,http://www.naver.com
190,4876.0,225.0,60.0,5137.0,http://www.daum.net
191,4498.0,235.0,61.0,4777.0,http://www.nate.com
192,2926.0,228.0,23.0,3181.0,http://www.baidu.com
193,646.0,623.0,1.0,803.0,http://www.google.com
194,462.0,486.0,0.0,554.0,http://www.bing.com
195,3245.0,1002.0,31.0,3535.0,http://www.yahoo.co.jp
196,4832.0,1698.0,117.0,5059.0,http://www.naver.com
197,2681.0,225.0,22.0,2903.0,http://www.daum.net
198,5604.0,258.0,59.0,5911.0,http://www.nate.com
199,3358.0,256.0,25.0,3639.0,http://www.baidu.com
200,774.0,795.0,0.0,928.0,http://www.google.com
201,471.0,506.0,0.0,566.0,http://www.bing.com
202,3273.0,978.0,29.0,3572.0,http://www.yahoo.co.jp
203,5196.0,1693.0,99.0,5425.0,http://www.naver.com
204,5435.0,225.0,57.0,5694.0,http://www.daum.net
205,5391.0,235.0,74.0,5681.0,http://www.nate.com
206,3197.0,243.0,17.0,3457.0,http://www.baidu.com
207,609.0,544.0,0.0,770.0,http://www.google.com
208,548.0,571.0,0.0,639.0,http://www.bing.com
209,3255.0,904.0,29.0,3534.0,http://www.yahoo.co.jp
